University/College Name,School Link,City,State,Name of the state,Control,Region,Accessible to Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Cost of Attendance from year,Types of Aid for international students,Number of international students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Source,Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name and Information,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after Merit Scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate
University of California-Davis,https://www.ucdavis.edu,Davis,CA,California,Public,West Coast,SF/Silicon Valley,Suburb: Small,20K+,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$47.682,$19.426,$71.108,24-25,Limited,119,"2,9%",$12.970,$56.122,CDS24,$1.5m,N/A,$13.250,Provost Scholarship,https://financialaid.ucdavis.edu/scholarships/campus/awards,This is the former name. Top awards are now part of the Regents Scholarship. Consideration is automatic for all applicants based on academic merit. No separate application is required.,$34.432,$57.858,Automatic consideration,"41,6%"
University of California-Irvine,https://www.uci.edu,Irvine,CA,California,Public,West Coast,"Los Angeles, CA",City: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$46.626,$18.991,$69.617,24-25,Merit,67,"1,9%",$19.679,$47.758,CDS24,$1.3m,N/A,Not published,,,,,,-,"28,8%"
University of California-Los Angeles,https://www.ucla.edu,Los Angeles,CA,California,Public,West Coast,"Los Angeles, CA",City: Large,20K+,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,$46.503,$18.369,$68.872,24-25,None,155,"6,1%",$25.900,,USN25,$4.0m,N/A,,,,,,,,9%
University of California-Merced,https://www.ucmerced.edu,Merced,CA,California,Public,West Coast,,Suburb: Midsize,5K - 10K,Coeducational,No,Balanced,Very High,On-campus,0-None,$46.905,$21.445,$72.350,24-25,Merit,5,"1,4%",$9.000,$60.237,CDS24,$0.0m,N/A,Not published,,,,,,-,"88,6%"
University of California-Riverside,https://www.ucr.edu,Riverside,CA,California,Public,West Coast,"Los Angeles, CA",City: Large,20K+,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$48.516,$20.700,$73.216,24-25,Limited,287,"33,5%",$7.872,$60.508,CDS24,$2.3m,N/A,,,,,,TBD,-,"70,4%"
University of California-San Diego,https://www.ucsd.edu,La Jolla,CA,California,Public,West Coast,"San Diego, CA",City: Large,20K+,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$51.015,$18.522,$73.537,24-25,Merit,55,"1,4%",$16.234,$51.006,USN25,,N/A,Not published,,,,,,-,"24,8%"
University of California-Santa Barbara,https://www.ucsb.edu,Santa Barbara,CA,California,Public,West Coast,"Los Angeles, CA",Suburb: Midsize,20K+,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$47.755,$19.947,$71.702,24-25,Merit,75,"3,3%",$21.053,$47.373,CDS24,$1.6m,N/A,Not published,,,,,,-,"27,8%"
University of California-Santa Cruz,https://www.ucsc.edu,Santa Cruz,CA,California,Public,West Coast,SF/Silicon Valley,City: Small,10K - 20K,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$50.183,$19.948,$74.131,24-25,Limited,152,"27,5%",$6.604,$61.518,CDS24,$1.0m,N/A,,,,,,TBD,-,"64,9%"
University of Central Oklahoma,https://www.uco.edu,Edmond,OK,Oklahoma,Public,South (Central),,Suburb: Large,10K - 20K,Coeducational,No,Professional,Very High,On-campus,0-None,$19.409,$8.628,$32.037,23-24,Pending,No data,,No data,,,,N/A,,,,,,,-,70%
University of Chicago,https://www.uchicago.edu,Chicago,IL,Illinois,Private,Midwest (Great Lakes),"Chicago, IL",City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Minority,On-campus,1-Historically,$69.324,$20.109,$93.433,24-25,Both,274,"22,9%",$60.506,$28.334,CDS24,$16.6m,Yes (Need-aware),$20.000,First Phoenix Scholarship,https://collegeadmissions.uchicago.edu/financial-support/scholarships/merit-scholarships,A scholarship for first-generation college students. All first-generation applicants are automatically considered. No separate application is needed.,$49.324,$73.433,Automatic consideration,5%
University of Cincinnati,https://www.uc.edu,Cincinnati,OH,Ohio,Public,Midwest (Great Lakes),,City: Large,20K+,Coeducational,No,Professional,High,On-campus,0-None,$29.310,$13.564,$46.874,24-25,Merit,871,"60,6%",$13.600,$31.688,CDS24,$11.8m,N/A,$15.000,Global Scholarship,https://admissions.uc.edu/tuition-aid/scholarships.html,A merit-based scholarship for international students. All international applicants are automatically considered upon admission. No separate application is required.,$14.310,$31.874,Automatic consideration,"87,7%"
University of Colorado-Boulder,https://www.colorado.edu,Boulder,CO,Colorado,Public,West (Rocky Mountains),,City: Midsize,20K+,Coeducational,No,Balanced,High,Off-campus,0-None,$49.770,$17.784,$85.556,24-25,Merit,129,"15,0%",$19.251,$43.642,CDS24,$2.5m,N/A,$12.500,Mildred Meyer Buck Endowed Scholarship in Arts and Scie,https://colorado.academicworks.com/opportunities/17994,This is a specific scholarship requiring a separate application for enrolled students. It is not a general admissions scholarship.,$37.270,$59.054,Automatic consideration,"81,4%"
University of Colorado-Colorado Springs,https://www.uccs.edu,Colorado Spring,CO,Colorado,Public,West (Rocky Mountains),,City: Large,10K - 20K,Coeducational,No,Balanced,High,Off-campus,0-None,$29.920,$17.428,$51.348,24-25,Merit,,,,,,,N/A,Full Tuition,UCCS Presidential Scholars Award,https://uccs.academicworks.com/opportunities/3460,"The link leads to a scholarship for continuing students. The top freshman merit award is the Chancellor's Award, which is awarded automatically upon admission.","-2395,5",$19.033,Requires application,"96,6%"
University of Colorado-Denver,https://www.ucdenver.edu,Denver,CO,Colorado,Public,West (Rocky Mountains),,City: Large,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$36.483,$15.442,$55.925,24-25,Merit,80,"8,1%",$8.067,$39.062,CDS24,$0.6m,N/A,$10.000,Automatic Scholarship + Additional Scholarship,https://www.ucdenver.edu/international-admissions/costs-financial-aid/undergraduate,All international applicants are automatically considered for Merit Scholarships upon admission. No separate application is needed.,$26.483,$45.925,Automatic consideration,78%
University of Connecticut,https://www.uconn.edu,Storrs,CT,Connecticut,Public,Northeast (New England),,Town: Fringe,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$43.712,$14.380,$62.092,24-25,Merit,571,"38,4%",$14.946,$46.084,CDS24,$8.5m,N/A,Full ride,Stamps Scholarship,https://admissions.uconn.edu/cost-aid/scholarship/,The most prestigious Merit Scholarship. Requires a separate application to the Honors Program. Top Honors applicants are invited to apply for the Stamps Scholarship.,$0,$4.000,Requires application,"53,9%"
University of Dayton,https://www.udayton.edu,Dayton,OH,Ohio,Private,Midwest (Great Lakes),,City: Midsize,10K - 20K,Coeducational,No,Professional,High,On-campus,4-Moderately,$49.140,$16.800,$69.940,24-25,Merit,63,"29,9%",$38.258,$28.982,CDS24,$2.4m,N/A,$31.000,International Merit Scholarship,https://udayton.edu/affordability/undergraduate/types-of-aid/scholarships/index.php,All international applicants are automatically considered for this merit-based scholarship upon admission. No separate application is required.,$18.140,$38.940,Automatic consideration,62%
University of Delaware,https://www.udel.edu,Newark,DE,Delaware,Public,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,20K+,Coeducational,No,Professional,High,On-campus,1-Historically,$41.400,$15.386,$60.786,24-25,Merit,,,,,,,N/A,$17.000,UD Trustee Scholarship,https://www.udel.edu/apply/undergraduate-admissions/financing-your-degree/,The premier Merit Scholarship for non-resident and international students. Awarded to a select number of top applicants. Consideration is automatic with the admission application.,$24.400,$43.786,Automatic consideration,"63,6%"
University of Denver,https://www.du.edu,Denver,CO,Colorado,Private,West (Rocky Mountains),,City: Large,10K - 20K,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$61.434,$17.759,$83.193,24-25,Merit,179,"92,3%",$45.790,$34.599,CDS24,$8.2m,N/A,$33.000,"Chancellor Scholarship + $3,000 Residence Hall Grant",https://www.du.edu/admission-aid/financial-aid-scholarships/undergraduate-financial-aid/types-aid/grants-scholarships,The Chancellor Scholarship is the premier merit award. All applicants are automatically considered upon admission. The housing grant is for eligible first-year students living on campus.,$28.434,$50.193,Automatic consideration,"71,2%"
University of Detroit Mercy,https://www.udmercy.edu,Detriot,MI,Michigan,Private,Midwest (Great Lakes),,City: Large,5K - 10K,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,$32.946,$10.428,$47.374,24-25,Need,124,"67,4%",$15.294,$31.744,CDS24,$1.9m,No,,,,,,,,80%
University of Evansville,https://www.evansville.edu,Evansville,IN,Indiana,Private,Midwest (Great Lakes),,City: Midsize,1K - 9K,Coeducational,No,Balanced,High,On-campus,2-Slightly,$44.172,$15.000,$63.172,24-25,None,116,"84,3%",$43.866,,USN25,$5.1m,N/A,not specified,Merit Scholarship,https://www.evansville.edu/student-financial-services/scholarships-for-international-students.cfm,All admitted international students are automatically considered for merit-based scholarships. No separate application is required.,,,,78%
University of Florida,https://www.ufl.edu,Gainesville,FL,Florida,Public,Southeast,,City: Midsize,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$28.658,$12.120,$44.159,23-24,Merit,,,,,,,N/A,OOS waiver,Out-of-State tuition waiver,https://admissions.ufl.edu/cost-and-aid/scholarships#international-scholarships,"A limited number of waivers are available. They are primarily awarded to students from Latin America and the Caribbean through the Linkage Institute program, which requires a separate application.",$6.381,$22.501,Automatic consideration,"24,0%"
University of Georgia,https://www.uga.edu,Athens,GA,Georgia,Public,Southeast (Deep South),,City: Midsize,20K+,Coeducational,No,Professional,High,On-campus,0-None,$31.678,$11.672,$47.350,24-25,Merit,,,,,,,N/A,Full Tuition,Foundation Fellowship,https://honors.uga.edu/scholarships/prospective-students/foundation-fellowship/,"The premier scholarship program at UGA. Requires a separate, extensive application after submitting the main university application. Finalists participate in an interview weekend.",$0,$15.672,Requires application,"36,8%"
University of Hawaii at Manoa,https://www.manoa.hawaii.edu,Honolulu,HI,Hawaii,Public,Hawaii,,City: Large,10K - 20K,Coeducational,No,Balanced,High,Off-campus,0-None,$34.218,$14.658,$52.876,24-25,Merit,321,"70,5%",$20.054,$33.100,CDS24,$6.4m,N/A,$10.000,International Undergraduate Student Award,https://www.hawaii.edu/issmanoa/?page_id=2524,A merit-based scholarship for new international students. Requires a separate application after being admitted to the university.,$24.218,$42.876,Automatic consideration,70%
University of Houston,https://www.uh.edu,Houston,TX,Texas,Public,South (Central),"Houston, TX",City: Large,20K+,Coeducational,No,Professional,High,On-campus,0-None,$29.278,$15.100,$36.609,23-24,Merit,481,"24,3%",$4.086,$32.523,CDS24,$2.0m,N/A,OOS waiver,Competitive Scholarship Waiver,https://uh.edu/oisss/students/scholarships/,"This is a benefit, not a direct scholarship. International students who receive a competitive UH scholarship of at least $1,000 may be eligible to have the out-of-state portion of their tuition waived.",$13.057,$32.157,Automatic consideration,"69,5%"
University of Houston-Victoria,https://www.uhv.edu,Victoria,TX,Texas,Public,South (Central),,City: Small,1K - 9K,Coeducational,No,Balanced,Majority,On-campus,0-None,$17.291,$10.494,$31.785,23-24,Pending,No data,,No data,,,,N/A,,,,,,,-,82%
University of Idaho,https://www.uidaho.edu,Moscow,ID,Idaho,Public,West (Rocky Mountains),,Town: Distant,10K - 20K,Coeducational,No,Professional,High,Off-campus,0-None,$28.320,$11.243,$43.563,24-25,Merit,1.734,FLAG,$12.390,$31.774,CDS24,$3.9m,N/A,$16.000,Invitation to Idaho Scholarship,https://www.uidaho.edu/ui/invitation-to-idaho,A program that provides a significantly reduced tuition rate for students from select partner states and countries. It is Automatically Awardarded to eligible students upon admission.,$12.320,$27.563,Automatic consideration,"79,1%"
University of Illinois at Chicago,https://www.uic.edu,Chicago,IL,Illinois,Public,Midwest (Great Lakes),"Chicago, IL",City: Large,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$33.726,$14.400,$52.126,24-25,Merit,198,"12,8%",$5.066,$45.039,CDS24,$1.0m,N/A,N/A (enrolled),Laurette Kirstein Scholarship,https://lares.uic.edu/scholarships/,The link is to the Latin American Recruitment and Educational Services (LARES) page. This scholarship is intended for students of Latino/a/x heritage.,,,Requires application,"78,5%"
University of Illinois at Urbana-Champaign,https://www.illinois.edu,Champaign,IL,Illinois,Public,Midwest (Great Lakes),"Chicago, IL",City: Small,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$47.796,$14.522,$66.318,24-25,Merit,45,"1,0%",$5.419,$48.587,CDS24,$0.2m,N/A,not specified,,,,,,,"43,7%"
University of Indianapolis,https://www.uindy.edu,Indianapolis,IN,Indiana,Private,Midwest (Great Lakes),,City: Large,5K - 10K,Coeducational,No,Professional,High,On-campus,2-Slightly,$37.200,$15.542,$56.742,24-25,Merit,252,"77,7%",$22.904,$33.110,USN25,$5.8m,N/A,,,,,,,-,73%
University of Iowa,https://www.uiowa.edu,Iowa City,IA,Iowa,Public,Midwest (Great Plains),,City: Small,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$35.906,$12.920,$52.826,24-25,Merit,158,"46,9%",$15.029,$34.514,CDS24,$2.3m,N/A,$15.000,International Distinction Scholarship,https://admissions.uiowa.edu/cost-aid/international-scholarships#international-distinction-in-education-award-idea,"This specific scholarship appears to be outdated. The top current award is the International Distinction in Education Award (IDea), for which students are automatically considered upon admission.",$20.906,$37.826,Automatic consideration,"84,7%"
University of Kansas,https://www.ku.edu,Lawrence,KS,Kansas,Public,Midwest (Great Plains),,City: Small,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$30.614,$11.358,$45.972,24-25,Merit,313,"48,7%",$12.055,$31.493,CDS24,$3.8m,N/A,$16.000,KU Excellence,https://world.ku.edu/scholarships,The top Merit Scholarship for international students. Awarded automatically based on GPA at the time of admission. No separate application is required.,$14.614,$29.972,Automatic consideration,"88,2%"
University of Kentucky,https://www.uky.edu,Lexington,KY,Kentucky,Public,Southeast,,City: Large,20K+,Coeducational,No,Professional,High,Off-campus,0-None,$34.140,$16.016,$54.156,24-25,Merit,268,"82,0%",$20.117,$32.531,CDS24,$5.4m,N/A,Full Tuition,Otis A. Singletary and Scholarship,https://www.uky.edu/financialaid/scholarship-incoming-freshmen,The premier scholarship program for all students. Requires a separate application to the Lewis Honors College. Finalists are invited for an interview.,$0,$20.016,Requires application,"92,4%"
University of La Verne,https://www.laverne.edu,La Verne,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$49.470,$15.092,$68.562,24-25,Both,No data,No data,No data,,,,No,$11.000,International Student Scholarship,https://laverne.edu/admission/international/scholarships/,All international applicants are automatically considered for this merit-based scholarship upon admission. No separate application is necessary.,$38.470,$57.562,Automatic consideration,78%
University of Louisiana at Lafayette,https://www.louisiana.edu,Lafayette,LA,Louisiana,Public,Southeast (Deep South),,City: Midsize,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$24.146,$11.988,$40.134,24-25,Merit,68,"77,3%",$26.053,$14.081,CDS24,$1.8m,N/A,$14.000,Out-of-State Waiver,https://scholarships.louisiana.edu/node/55,"A waiver of the non-resident fee is available to students who receive other specific university scholarships, such as the Academic Scholarship.",$10.146,$26.134,Automatic consideration,"88,8%"
University of Louisiana at Monroe,https://www.ulm.edu,Monroe,LA,Louisiana,Public,Southeast (Deep South),,City: Small,5K - 10K,Coeducational,No,Professional,High,Off-campus,0-None,$21.290,$10.182,$35.472,23-24,Merit,291,"72,8%",$18.991,,USN25,$5.5m,N/A,$22.100,President's Distinguished Scholarship,https://www.ulm.edu/scholarships/international.html,The top merit-based scholarship for international students. A separate application is required after being admitted to the university.,,$14.182,Automatic consideration,88%
University of Louisville,https://www.louisville.edu,Louisville,KY,Kentucky,Public,Southeast,,City: Large,20K+,Coeducational,No,Professional,Majority,On-campus,0-None,$29.482,$12.176,$45.658,24-25,Merit,75,"39,9%",$11.535,$33.329,CDS24,$0.9m,N/A,,,,,,,,81%
University of Maine,https://www.umaine.edu,Orono,ME,Maine,Public,Northeast (New England),,Suburb: Small,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$36.600,$13.160,$53.760,24-25,Merit,147,"83,5%",$20.305,$31.737,CDS24,$3.0m,N/A,$20.000,International Presidential Scholarship,https://umaine.edu/international/scholarships/,The top merit-based scholarship for international students. All applicants are automatically considered upon admission. No separate application is needed.,$16.600,$33.760,Automatic consideration,"95,7%"
University of Maine-Farmington,https://www.umf.maine.edu,Farmington,ME,Maine,Public,Northeast (New England),,Rural: Remote,1K - 9K,Coeducational,No,Professional,Very High,On-campus,0-None,$23.878,$11.310,$39.188,24-25,Merit,2,"62,3%",$4.775,,USN25,$0.0m,N/A,$9.000,Merit-Based Scholarship,https://www.umf.maine.edu/admissions-aid/international-students/,International students are automatically considered for merit-based scholarships upon admission. No separate application is required.,$14.878,$30.188,Automatic consideration,98%
University of Maryland-Baltimore County,https://www.umbc.edu,Baltimore,MD,Maryland,Public,Northeast (Mid-Atlantic),"Washington, DC",Suburb: Large,10K - 20K,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$31.225,$15.146,$50.371,24-25,Limited,250,"52,0%",$12.763,$35.749,CDS24,$3.2m,N/A,$22.000,Center for Women in Technology (CWIT) Scholars Program,https://scholarships.umbc.edu/international/,"A program for students of all genders committed to advancing women in technology fields. Requires a separate, competitive application. Open to international students.",$9.225,$28.371,Requires application,"74,2%"
University of Maryland-College Park,https://www.umd.edu,College Park,MD,Maryland,Public,Northeast (Mid-Atlantic),"Washington, DC",Suburb: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$41.186,$15.958,$61.144,24-25,Merit,,,,,,,N/A,Full ride+stipend,Banneker/Key Scholars Program,https://honors.umd.edu/scholarships-financial-aid/banneker-key-scholars/,The most prestigious Merit Scholarship. Requires applying to the Honors College. Top applicants are invited to participate in a selection process.,$0,$3.000,Requires application,"44,8%"
University of Massachusetts-Amherst,https://www.umass.edu,Amherst,MA,Massachusetts,Public,Northeast (New England),,City: Small,20K+,Coeducational,No,Balanced,High,Off-campus,0-None,$40.449,$16.128,$60.577,24-25,Merit,1.470,"82,6%",$12.764,$45.398,CDS24,$18.8m,N/A,$20.000,Merit Award,https://www.umass.edu/financialaid/undergraduate/undergraduate-scholarships/umass-admissions-scholarships-and-awards,"All first-year applicants are automatically considered for Merit Scholarships, including the Chancellor's Award, based on their admission application.",$20.449,$40.577,Automatic consideration,"57,8%"
University of Massachusetts-Boston,https://www.umb.edu,Boston,MA,Massachusetts,Public,Northeast (New England),"Boston, MA",City: Large,10K - 20K,Coeducational,No,Balanced,High,On-campus,0-None,$38.125,$17.512,$59.637,24-25,None,,,,,,,N/A,,,,,,,,83%
University of Massachusetts-Lowell,https://www.uml.edu,Lowell,MA,Massachusetts,Public,Northeast (New England),"Boston, MA",Suburb: Large,10K - 20K,Coeducational,No,Balanced,High,Off-campus,0-None,$36.264,$15.160,$55.424,24-25,Merit,146,"54,9%",$10.516,$44.304,CDS24,$1.6m,N/A,$20.000,Merit Scholarship,https://www.uml.edu/thesolutioncenter/financial-aid/scholarships/freshmen.aspx#Non-Mass,"Merit Scholarships are Automatically Awardarded to eligible students, including non-residents and internationals, upon admission. No separate application is needed.",$16.264,$35.424,Automatic consideration,"85,2%"
University of Memphis,https://www.memphis.edu,Memphis,TN,Tennessee,Public,Southeast,,City: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$18.762,$10.472,$29.128,23-24,Merit,123,"59,4%",$19.422,$9.706,CDS24,$2.4m,N/A,OOS waiver,International Merit Scholarship,https://www.memphis.edu/admissions/basics/int-scholarships.php,All admitted degree-seeking international students are automatically considered for this merit-based scholarship. No separate application is required.,$10.728,$25.200,Requires application,93%
University of Miami,https://www.miami.edu,Coral Gables,FL,Florida,Private,Southeast,"Miami, FL",Suburb: Large,10K - 20K,Coeducational,No,Balanced,Majority,On-campus,0-None,$62.616,$23.790,$90.406,24-25,Both,344,"34,3%",$43.549,$41.957,CDS24,$15.0m,Yes (Need-aware),Full ride+stipend,Stamps Scholarship,https://www.admissions.miami.edu/undergraduate/financial-aid/scholarships/freshman/index.html,"A premier, full-ride scholarship. Requires a separate application. Students must apply early Decision I or early Action to be considered. Includes health insurance, textbooks, a laptop allowance, and access to a $12,000 enrichment fund. Full-tuition Isaac Bashevis Singer Scholarship also available. Automatic considerationderation for up to $28,000.",$0,$1.000,By invitation only,"19,0%"
University of Michigan-Ann Arbor,https://www.umich.edu,Ann Arbor,MI,Michigan,Public,Midwest (Great Lakes),,City: Midsize,20K+,Coeducational,No,Arts and Sciences,Majority,Off-campus,0-None,$63.081,$15.328,$82.409,24-25,None,,,,,,,N/A,,,,,,,,18%
University of Michigan-Dearborn,https://www.umdearborn.edu,Dearborn,MI,Michigan,Public,Midwest (Great Lakes),,City: Midsize,5K - 10K,Coeducational,No,Balanced,High,On-campus,0-None,$32.896,$15.000,$50.360,23-24,Merit,130,"58,3%",$10.895,$39.465,CDS24,$1.4m,N/A,,,,,,TBD,-,"58,6%"
University of Minnesota-Duluth,https://www.d.umn.edu,Duluth,MN,Minnesota,Public,Midwest (Great Plains),,City: Small,5K - 10K,Coeducational,No,Balanced,Very High,Off-campus,0-None,$19.930,$11.110,$35.040,24-25,Merit,33,"39,3%",$12.024,$21.944,CDS24,$0.4m,N/A,,,,,,TBD,-,82%
University of Minnesota-Twin Cities,https://www.twin-cities.umn.edu,Minneapolis,MN,Minnesota,Public,Midwest (Great Plains),,City: Large,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$38.362,$14.006,$56.368,24-25,Merit,190,"10,6%",$4.438,$48.992,CDS24,$0.8m,N/A,$15.000,Global Excellence Scholarships,https://isss.umn.edu/students/support-services/funding/global-excellence-scholarship,"A competitive, merit-based scholarship for new international freshmen. Students are automatically considered with their application for admission. No separate application needed.",$23.362,$41.368,Automatic consideration,"77,5%"
University of Mississippi,https://www.olemiss.edu,University,MS,Mississippi,Public,Southeast (Deep South),,Town: Remote,20K+,Coeducational,No,Professional,High,On-campus,0-None,$28.600,$12.600,$45.200,24-25,Merit,143,"69,1%",$23.902,$19.118,CDS24,$3.4m,N/A,$23.454,International Academic Excellence Scholarship,https://international.olemiss.edu/scholarships-for-international-undergraduates/,A merit-based scholarship for new international students. Consideration is automatic upon admission. No separate application is required.,$5.146,$21.746,Automatic consideration,"97,8%"
University of Missouri,https://www.missouri.edu,Columbia,MO,Missouri,Public,Midwest (Great Plains),,City: Midsize,20K+,Coeducational,No,Professional,High,Off-campus,0-None,$36.040,$12.140,$52.180,24-25,Merit,,,,,,,N/A,$20.000,International Honors Scholarship,https://admissions.missouri.edu/costs-aid/scholarships/international-student-scholarships/,This award is a combination of the International Merit Scholarship and the Mark Twain Nonresident Scholarship. Consideration is automatic upon admission.,$16.040,$32.180,Automatic consideration,77%
University of Missouri-St. Louis,https://www.umsl.edu,Saint Louis,MO,Missouri,Public,Midwest (Great Plains),,Suburb: Large,10K - 20K,Coeducational,No,Balanced,High,On-campus,0-None,$35.820,$10.917,$50.737,24-25,Merit,71,"83,5%",$23.256,$27.280,CDS24,$1.7m,N/A,,,,,,TBD,-,57%
University of Mobile,https://www.umobile.edu,Mobile,AL,Alabama,Private,Southeast (Deep South),,Rural: Fringe,1K - 9K,Coeducational,No,Balanced,High,On-campus,5-Very,$26.910,$11.450,$42.360,24-25,Merit,47,"67,7%",$29.603,$11.193,USN25,,N/A,,,,,,,-,73%
University of Montana,https://www.umt.edu,Missoula,MT,Montana,Public,West (Rocky Mountains),,City: Small,10K - 20K,Coeducational,No,Balanced,High,On-campus,0-None,$33.671,$12.804,$50.475,24-25,Merit,2.005,FLAG,$21.077,$26.153,CDS24,$42.3m,N/A,$17.000,Academic Achievement Scholarship,https://www.umt.edu/finaid/scholarships/new-freshman-scholarships/default.php,The top automatic merit award is the Presidential Leadership Scholarship. All students are considered automatically upon admission. No separate application needed.,$16.671,$33.475,Automatic consideration,85%
University of Montevallo,https://www.montevallo.edu,Montevallo,AL,Alabama,Public,Southeast (Deep South),,Town: Fringe,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,0-None,$26.968,$11.372,$42.340,24-25,Merit,68,"66,8%",$20.928,$20.570,USN25,$1.4m,N/A,,,,,,,-,56%
University of Nebraska-Kearney,https://www.unk.edu,Kearney,NE,Nebraska,Public,Midwest (Great Plains),,Town: Distant,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$16.484,$11.910,$32.394,24-25,Merit,,,$5.076,$26.780,USN25,,N/A,,,,,,TBD,-,"85,8%"
University of Nebraska-Lincoln,https://www.unl.edu,Lincoln,NE,Nebraska,Public,Midwest (Great Plains),,City: Large,20K+,Coeducational,No,Professional,High,Off-campus,0-None,$28.764,$14.120,$46.884,24-25,Merit,113,"19,7%",$8.016,$37.588,CDS24,$0.9m,N/A,$15.000,Global Laureate Scholarships,https://financialaid.unl.edu/global-laureate-scholarship-guidelines-2022-2023,A top merit-based scholarship for international freshmen. Consideration is automatic for students who apply for admission by the priority deadline.,$13.764,$31.884,Automatic consideration,"77,1%"
University of Nevada-Las Vegas,https://www.unlv.edu,Las Vegas,NV,Nevada,Public,West Coast,,City: Midsize,20K+,Coeducational,No,Balanced,High,Off-campus,0-None,$26.098,$12.072,$42.170,24-25,Merit,159,"39,0%",$12.067,$30.104,CDS24,$1.9m,N/A,not specified,Signature Scholarship,https://www.unlv.edu/finaid/scholarships,This is a full-tuition scholarship for Nevada residents only. It is not applicable to international students.,,,Automatic consideration,"85,8%"
University of Nevada-Reno (Main Campus),https://www.unr.edu,Reno,NV,Nevada,Public,West Coast,,City: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$27.720,$14.496,$46.216,24-25,Merit,93,"57,5%",$11.821,$31.829,USN25,$1.1m,N/A,$8.000,Presidential Scholarship,https://www.unr.edu/financial-aid/scholarships/first-year-scholarships,This scholarship is for Nevada residents only and is not applicable to international students.,$19.720,$38.216,Automatic consideration,85%
University of New England,https://www.une.edu,Biddeford,ME,Maine,Private,Northeast (New England),,Suburb: Midsize,5K - 10K,Coeducational,No,Professional,Minority,On-campus,0-None,$44.210,$18.000,$66.210,24-25,Merit,8,"51,8%",$15.352,,USN25,$0.1m,N/A,$20.000,Presidential Scholarship,https://www.une.edu/admissions/intl/financial-aid,All international applicants are automatically considered for merit-based scholarships upon admission. The Presidential Scholarship is a top award. No separate application needed.,$24.210,$46.210,Automatic consideration,92%
University of New Hampshire,https://www.unh.edu,Durham,NH,New Hampshire,Public,Northeast (New England),"Boston, MA",Town: Fringe,10K - 20K,Coeducational,No,Balanced,High,On-campus,0-None,$39.852,$14.142,$57.994,24-25,Merit,90,"75,0%",$31.177,$25.019,CDS24,$2.8m,N/A,$12.000,Trustee Scholarship,https://www.unh.edu/financialaid/types-aid/scholarships,The premier Merit Scholarship. All applicants are automatically considered based on their admission application. No separate application is required.,$27.852,$45.994,Automatic consideration,"86,9%"
University of New Haven,https://www.newhaven.edu,West Haven,CT,Connecticut,Private,Northeast (New England),New York City,Suburb: Large,5K - 10K,Coeducational,No,Professional,High,Off-campus,0-None,$47.332,$19.044,$70.376,24-25,Merit,146,"88,3%",$25.312,$44.372,USN25,$3.7m,N/A,,,,,,,-,81%
University of New Mexico,https://www.unm.edu,Albuquerque,NM,New Mexico,Public,Southwest,,City: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$33.217,$12.026,$41.367,23-24,Merit,1.740,[error],$2.441,,USN25,,N/A,OOS waiver,International Amigo Scholarship,https://international.unm.edu/misc/scholarship-and-cost-of-attendance.html,A competitive scholarship that allows international students to pay in-state tuition rates. Requires a separate application after being admitted.,$10.298,$26.324,Automatic consideration,"78,3%"
