University/College Name,City,State,Name of the state,Control,Region,Popular Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Budget category,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Types of Aid for international students,Number of International Students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate,International admission rate,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,Regular Decision acceptance rate,early plan offered?,Early Decision 2 offered?,Source_List
University of Dayton,Dayton,OH,Ohio,Private,Midwest (Great Lakes),,City: Midsize,10K - 20K,Coeducational,No,Professional,High,On-campus,4-Moderately,$30.000,$49.140,$16.800,$69.940,Merit,63,30%,$38.258,$28.982,$2.4m,N/A,$31.000,International Merit Scholarship,https://udayton.edu/affordability/undergraduate/types-of-aid/scholarships/index.php,All international applicants are automatically considered for this merit-based scholarship upon admission. No separate application is required.,$18.140,$38.940,Automatic consideration,62%,,14%,-,,-,-,62%,Early Action Only,,early_admission
University of Delaware,Newark,DE,Delaware,Public,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,20K+,Coeducational,No,Professional,High,On-campus,1-Historically,$45.000,$41.400,$15.386,$60.786,Merit,,,,,,N/A,$17.000,UD Trustee Scholarship,https://www.udel.edu/apply/undergraduate-admissions/financing-your-degree/,The premier Merit Scholarship for non-resident and international students. Awarded to a select number of top applicants. Consideration is automatic with the admission application.,$24.400,$43.786,Automatic consideration,"63,6%","47,9%",18%,5%,2662,1274,70,64%,Early Action Only,,early_admission
University of Denver,Denver,CO,Colorado,Private,West (Rocky Mountains),,City: Large,10K - 20K,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$35.000,$61.434,$17.759,$83.193,Merit,179,92%,$45.790,$34.599,$8.2m,N/A,$33.000,"Chancellor Scholarship + $3,000 Residence Hall Grant",https://www.du.edu/admission-aid/financial-aid-scholarships/undergraduate-financial-aid/types-aid/grants-scholarships,The Chancellor Scholarship is the premier merit award. All applicants are automatically considered upon admission. The housing grant is for eligible first-year students living on campus.,$28.434,$50.193,Automatic consideration,"71,2%","58,3%",11%,9%,921,537,48,"55,6%",Both,,early_admission
University of Detroit Mercy,Detriot,MI,Michigan,Private,Midwest (Great Lakes),,City: Large,5K - 10K,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,$35.000,$32.946,$10.428,$47.374,Need,124,67%,$15.294,$31.744,$1.9m,No,,,,,,,,80%,23%,12%,-,,-,,77%,Early Action Only,,early_admission
University of Evansville,Evansville,IN,Indiana,Private,Midwest (Great Lakes),,City: Midsize,1K - 9K,Coeducational,No,Balanced,High,On-campus,2-Slightly,$65.000,$44.172,$15.000,$63.172,None,116,84%,$43.866,,$5.1m,N/A,not specified,Merit Scholarship,https://www.evansville.edu/student-financial-services/scholarships-for-international-students.cfm,All admitted international students are automatically considered for merit-based scholarships. No separate application is required.,,,,78%,55%,13%,-,,-,,78%,Early Action Only,,early_admission
University of Florida,Gainesville,FL,Florida,Public,Southeast,,City: Midsize,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$25.000,$28.658,$12.120,$44.159,Merit,,,,,,N/A,OOS waiver,Out-of-State tuition waiver,https://admissions.ufl.edu/cost-and-aid/scholarships#international-scholarships,"A limited number of waivers are available. They are primarily awarded to students from Latin America and the Caribbean through the Linkage Institute program, which requires a separate application.",$6.381,$22.501,Automatic consideration,"24,0%","19,6%",43%,15%,5981,1172,181,24%,Early Action Only,,early_admission
University of Georgia,Athens,GA,Georgia,Public,Southeast (Deep South),,City: Midsize,20K+,Coeducational,No,Professional,High,On-campus,0-None,$15.000,$31.678,$11.672,$47.350,Merit,,,,,,N/A,Full Tuition,Foundation Fellowship,https://honors.uga.edu/scholarships/prospective-students/foundation-fellowship/,"The premier scholarship program at UGA. Requires a separate, extensive application after submitting the main university application. Finalists participate in an interview weekend.",$0,$15.672,Requires application,"36,8%","21,6%",38%,21%,1338,289,62,"42,0%",Early Action Only,,early_admission
University of Illinois at Chicago,Chicago,IL,Illinois,Public,Midwest (Great Lakes),"Chicago, IL",City: Large,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$55.000,$33.726,$14.400,$52.126,Merit,198,13%,$5.066,$45.039,$1.0m,N/A,N/A (enrolled),Laurette Kirstein Scholarship,https://lares.uic.edu/scholarships/,The link is to the Latin American Recruitment and Educational Services (LARES) page. This scholarship is intended for students of Latino/a/x heritage.,,,Requires application,"78,5%","50,6%",24%,27%,2094,1060,285,71%,Early Action Only,,early_admission
University of Illinois at Urbana-Champaign,Champaign,IL,Illinois,Public,Midwest (Great Lakes),"Chicago, IL",City: Small,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$55.000,$47.796,$14.522,$66.318,Merit,45,1%,$5.419,$48.587,$0.2m,N/A,not specified,,,,,,,"43,7%","34,5%",28%,19%,16514,5698,1087,44%,Early Action Only,,early_admission
University of Iowa,Iowa City,IA,Iowa,Public,Midwest (Great Plains),,City: Small,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$35.000,$35.906,$12.920,$52.826,Merit,158,47%,$15.029,$34.514,$2.3m,N/A,$15.000,International Distinction Scholarship,https://admissions.uiowa.edu/cost-aid/international-scholarships#international-distinction-in-education-award-idea,"This specific scholarship appears to be outdated. The top current award is the International Distinction in Education Award (IDea), for which students are automatically considered upon admission.",$20.906,$37.826,Automatic consideration,"84,7%","44,1%",23%,10%,1648,726,69,85%,Early Action Only,,early_admission
University of Kansas,Lawrence,KS,Kansas,Public,Midwest (Great Plains),,City: Small,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$30.000,$30.614,$11.358,$45.972,Merit,313,49%,$12.055,$31.493,$3.8m,N/A,$16.000,KU Excellence,https://world.ku.edu/scholarships,The top Merit Scholarship for international students. Awarded automatically based on GPA at the time of admission. No separate application is required.,$14.614,$29.972,Automatic consideration,"88,2%","95,3%",31%,15%,614,585,88,88%,Early Action Only,,early_admission
University of Kentucky,Lexington,KY,Kentucky,Public,Southeast,,City: Large,20K+,Coeducational,No,Professional,High,Off-campus,0-None,$25.000,$34.140,$16.016,$54.156,Merit,268,82%,$20.117,$32.531,$5.4m,N/A,Full Tuition,Otis A. Singletary and Scholarship,https://www.uky.edu/financialaid/scholarship-incoming-freshmen,The premier scholarship program for all students. Requires a separate application to the Lewis Honors College. Finalists are invited for an interview.,$0,$20.016,Requires application,"92,4%","88,8%",25%,10%,777,690,66,92%,Early Action Only,,early_admission
University of Maine,Orono,ME,Maine,Public,Northeast (New England),,Suburb: Small,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$35.000,$36.600,$13.160,$53.760,Merit,147,84%,$20.305,$31.737,$3.0m,N/A,$20.000,International Presidential Scholarship,https://umaine.edu/international/scholarships/,The top merit-based scholarship for international students. All applicants are automatically considered upon admission. No separate application is needed.,$16.600,$33.760,Automatic consideration,"95,7%","95,5%",14%,10%,288,275,28,96%,Early Action Only,,early_admission
University of Maine-Farmington,Farmington,ME,Maine,Public,Northeast (New England),,Rural: Remote,1K - 9K,Coeducational,No,Professional,Very High,On-campus,0-None,$30.000,$23.878,$11.310,$39.188,Merit,2,62%,$4.775,,$0.0m,N/A,$9.000,Merit-Based Scholarship,https://www.umf.maine.edu/admissions-aid/international-students/,International students are automatically considered for merit-based scholarships upon admission. No separate application is required.,$14.878,$30.188,Automatic consideration,98%,91%,18%,-,,-,,96%,Early Action Only,,early_admission
University of Maryland-Baltimore County,Baltimore,MD,Maryland,Public,Northeast (Mid-Atlantic),"Washington, DC",Suburb: Large,10K - 20K,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$30.000,$31.225,$15.146,$50.371,Limited,250,52%,$12.763,$35.749,$3.2m,N/A,$22.000,Center for Women in Technology (CWIT) Scholars Program,https://scholarships.umbc.edu/international/,"A program for students of all genders committed to advancing women in technology fields. Requires a separate, competitive application. Open to international students.",$9.225,$28.371,Requires application,"74,2%","68,0%",20%,12%,1108,753,93,90%,Early Action Only,,early_admission
University of Maryland-College Park,College Park,MD,Maryland,Public,Northeast (Mid-Atlantic),"Washington, DC",Suburb: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$5.000,$41.186,$15.958,$61.144,Merit,,,,,,N/A,Full ride+stipend,Banneker/Key Scholars Program,https://honors.umd.edu/scholarships-financial-aid/banneker-key-scholars/,The most prestigious Merit Scholarship. Requires applying to the Honors College. Top applicants are invited to participate in a selection process.,$0,$3.000,Requires application,"44,8%",,23%,-,,-,-,45%,Early Action Only,,early_admission
University of Massachusetts-Amherst,Amherst,MA,Massachusetts,Public,Northeast (New England),,City: Small,20K+,Coeducational,No,Balanced,High,Off-campus,0-None,$45.000,$40.449,$16.128,$60.577,Merit,1.470,83%,$12.764,$45.398,$18.8m,N/A,$20.000,Merit Award,https://www.umass.edu/financialaid/undergraduate/undergraduate-scholarships/umass-admissions-scholarships-and-awards,"All first-year applicants are automatically considered for Merit Scholarships, including the Chancellor's Award, based on their admission application.",$20.449,$40.577,Automatic consideration,"57,8%","47,9%",18%,14%,7005,3355,479,"53,3%",Early Action Only,,early_admission
University of Massachusetts-Lowell,Lowell,MA,Massachusetts,Public,Northeast (New England),"Boston, MA",Suburb: Large,10K - 20K,Coeducational,No,Balanced,High,Off-campus,0-None,$35.000,$36.264,$15.160,$55.424,Merit,146,55%,$10.516,$44.304,$1.6m,N/A,$20.000,Merit Scholarship,https://www.uml.edu/thesolutioncenter/financial-aid/scholarships/freshmen.aspx#Non-Mass,"Merit Scholarships are Automatically Awardarded to eligible students, including non-residents and internationals, upon admission. No separate application is needed.",$16.264,$35.424,Automatic consideration,"85,2%","86,1%",19%,6%,703,605,39,85%,Early Action Only,,early_admission
University of Miami,Coral Gables,FL,Florida,Private,Southeast,"Miami, FL",Suburb: Large,10K - 20K,Coeducational,No,Balanced,Majority,On-campus,0-None,$0,$62.616,$23.790,$90.406,Both,344,34%,$43.549,$41.957,$15.0m,Yes (Need-aware),Full ride+stipend,Stamps Scholarship,https://www.admissions.miami.edu/undergraduate/financial-aid/scholarships/freshman/index.html,"A premier, full-ride scholarship. Requires a separate application. Students must apply early Decision I or early Action to be considered. Includes health insurance, textbooks, a laptop allowance, and access to a $12,000 enrichment fund. Full-tuition Isaac Bashevis Singer Scholarship also available. Automatic considerationderation for up to $28,000.",$0,$1.000,By invitation only,"19,0%",82%,26%,-,,-,-,4%,Both,Yes,early_admission
University of Michigan-Ann Arbor,Ann Arbor,MI,Michigan,Public,Midwest (Great Lakes),,City: Midsize,20K+,Coeducational,No,Arts and Sciences,Majority,Off-campus,0-None,$85.000,$63.081,$15.328,$82.409,None,,,,,,N/A,,,,,,,,18%,,47%,-,-,-,-,18%,Early Action Only,,early_admission
University of Minnesota-Twin Cities,Minneapolis,MN,Minnesota,Public,Midwest (Great Plains),,City: Large,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$45.000,$38.362,$14.006,$56.368,Merit,190,11%,$4.438,$48.992,$0.8m,N/A,$15.000,Global Excellence Scholarships,https://isss.umn.edu/students/support-services/funding/global-excellence-scholarship,"A competitive, merit-based scholarship for new international freshmen. Students are automatically considered with their application for admission. No separate application needed.",$23.362,$41.368,Automatic consideration,"77,5%","78,2%",22%,47%,1256,982,466,77%,Early Action Only,,early_admission
University of Nevada-Reno (Main Campus),Reno,NV,Nevada,Public,West Coast,,City: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$35.000,$27.720,$14.496,$46.216,Merit,93,58%,$11.821,$31.829,$1.1m,N/A,$8.000,Presidential Scholarship,https://www.unr.edu/financial-aid/scholarships/first-year-scholarships,This scholarship is for Nevada residents only and is not applicable to international students.,$19.720,$38.216,Automatic consideration,85%,,40%,-,-,-,,85%,Early Action Only,,early_admission
University of New England,Biddeford,ME,Maine,Private,Northeast (New England),,Suburb: Midsize,5K - 10K,Coeducational,No,Professional,Minority,On-campus,0-None,$55.000,$44.210,$18.000,$66.210,Merit,8,52%,$15.352,,$0.1m,N/A,$20.000,Presidential Scholarship,https://www.une.edu/admissions/intl/financial-aid,All international applicants are automatically considered for merit-based scholarships upon admission. The Presidential Scholarship is a top award. No separate application needed.,$24.210,$46.210,Automatic consideration,92%,,13%,-,-,-,,93%,Early Action Only,,early_admission
University of New Hampshire,Durham,NH,New Hampshire,Public,Northeast (New England),"Boston, MA",Town: Fringe,10K - 20K,Coeducational,No,Balanced,High,On-campus,0-None,$30.000,$39.852,$14.142,$57.994,Merit,90,75%,$31.177,$25.019,$2.8m,N/A,$12.000,Trustee Scholarship,https://www.unh.edu/financialaid/types-aid/scholarships,The premier Merit Scholarship. All applicants are automatically considered based on their admission application. No separate application is required.,$27.852,$45.994,Automatic consideration,"86,9%","85,9%",14%,4%,498,428,19,87%,Early Action Only,,early_admission
University of New Haven,West Haven,CT,Connecticut,Private,Northeast (New England),New York City,Suburb: Large,5K - 10K,Coeducational,No,Professional,High,Off-campus,0-None,$45.000,$47.332,$19.044,$70.376,Merit,146,88%,$25.312,$44.372,$3.7m,N/A,,,,,,,-,81%,39%,12%,-,,-,,81%,Both,,early_admission
University of North Carolina at Chapel Hill,Chapel Hill,NC,North Carolina,Public,Southeast,"Raleigh, NC",City: Small,20K+,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,$5.000,$41.211,$13.804,$59.015,Merit,,,,,,N/A,Full ride,International Excellence Scholarship,https://admissions.uncg.edu/admissions/international-admissions/,The premier Merit Scholarship for international students. All applicants are automatically considered upon admission. No separate application needed.,$0,$4.000,Requires application,"7,7%","18,2%",43%,22%,6376,1162,260,"10,2%",Early Action Only,,early_admission
University of North Carolina at Charlotte,Charlotte,NC,North Carolina,Public,Southeast,,City: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$45.000,$22.274,$14.458,$40.732,None,63,12%,$15.576,,$1.0m,N/A,,,,,,,,80%,"66,9%",25%,25%,529,354,88,67%,Early Action Only,,early_admission
University of North Carolina at Greensboro,Greensboro,NC,North Carolina,Public,Southeast,"Raleigh, NC",City: Large,10K - 20K,Coeducational,No,Balanced,High,On-campus,0-None,$30.000,$23.340,$10.534,$37.874,Merit,58,35%,$11.378,$26.495,$0.7m,N/A,not specified,International Excellence Scholarship,https://admissions.uncg.edu/admissions/international-admissions/,The premier Merit Scholarship for international students. All applicants are automatically considered upon admission. No separate application needed.,,,Automatic consideration,"89,8%","89,5%",23%,19%,200,179,34,82%,Early Action Only,,early_admission
University of North Carolina-Asheville,Asheville,NC,North Carolina,Public,Southeast,,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,$35.000,$24.849,$11.398,$40.247,Merit,2,5%,$5.388,$34.439,$0.0m,N/A,,,,,,TBD,-,"93,9%","100,0%",12%,100%,10,10,10,96%,Early Action Only,,early_admission
University of North Georgia,Dahlonega,GA,Georgia,Public,Southeast (Deep South),,Town: Distant,10K - 20K,Coeducational,No,Balanced,Very High,Off-campus,0-None,$25.000,$21.898,$12.310,$32.277,Merit,,,,,,N/A,OOS waiver,Full Presidential Tuition Waiver (PTW),https://ung.edu/cost-aid/scholarships/new-students-scholarships.php,This award is for exceptional students. Requires a separate application. International students are eligible for other tuition waivers based on their status.,$6.898,$23.208,Automatic consideration,"67,7%","22,9%",45%,24%,253,58,14,68%,Both,,early_admission
University of Notre Dame,Notre Dame,IN,Indiana,Private,Midwest (Great Lakes),,Suburb: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,4-Moderately,$0,$65.025,$17.900,$86.925,Both,297,50%,$64.039,$20.032,$19.0m,Yes (Need-blind),Full Tuition,Stamps Scholarship,https://scholars.nd.edu/awards/list-of-awards/,"A premier scholarship program. Students are identified for consideration from the pool of Restrictive early Action applicants. No separate application is needed for initial consideration. Several $25,000 scholarships also available",$0,$21.900,Automatic consideration,"11,1%","8,8%",59%,60%,3301,292,174,"8,6%",REarly Action Only,,early_admission
University of Oklahoma-Norman Campus,Norman,OK,Oklahoma,Public,South (Central),,Suburb: Midsize,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$30.000,$32.163,$15.383,$51.546,Merit,33,6%,$14.986,$27.879,$0.5m,N/A,not specified,,,,,,,76%,37%,31%,-,-,-,-,76%,Early Action Only,,early_admission
University of Oregon,Eugene,OR,Oregon,Public,West Coast,,City: Midsize,20K+,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$30.000,$42.516,$16.611,$63.127,Merit,55,16%,$13.027,$48.007,$0.7m,N/A,$35.000,International Cultural Service Program,https://admissions.uoregon.edu/international/scholarships,A scholarship that requires financial need and a commitment to cultural service. A separate application is required. Other Merit Scholarships are awarded automatically upon admission.,$7.516,$28.127,Requires application,85%,,15%,-,-,-,45,85%,Early Action Only,,early_admission
University of Pennsylvania,Philadelphia,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Large,20K+,Coeducational,No,Balanced,Minority,On-campus,0-None,$0,$68.686,$19.174,$91.860,Need,366,28%,$67.366,$21.234,$24.7m,Yes (Need-aware),,,,,,,,"5,4%","3,1%",69%,78%,13310,419,326,"4,4%",Early Decision only,,early_admission
University of Portland,Portland,OR,Oregon,Private,West Coast,,City: Large,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,$55.000,$58.100,$17.260,$79.360,Merit,9,9%,$27.556,$47.944,$0.2m,N/A,not specified,President Scholarship,https://www.up.edu/finaid/scholarships-and-grants/institutional-scholarships.html,The top Merit Scholarship awarded to first-year students. Consideration is automatic with the admission application. No separate application is required.,,,,"95,0%",,,-,-,,,95%,Early Action Only,,early_admission
University of Puget Sound,Tacoma,WA,Washington,Private,West Coast,"Seattle, WA",City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,$5.000,$62.898,$15.670,$82.568,Merit,9,100%,$27.556,$51.384,$0.2m,N/A,Full ride,Lillis Foundation Scholarship,https://www.pugetsound.edu/admission/cost-aid/types-aid/scholarships-grants,"A premier scholarship focused on academics, leadership, and service. Requires a separate application in addition to the admission application.",$0,$4.000,By invitation only,"76,0%","63,8%",11%,1%,152,97,1,"67,3%",Both,,early_admission
University of Redlands,Redlands,CA,California,Private,West Coast,"Los Angeles, CA",City: Small,1K - 9K,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$55.000,$60.578,$18.208,$82.786,Merit,18,95%,$35.299,,$0.6m,N/A,$32.000,Merit Scholarship,https://www.redlands.edu/admissions-and-aid/first-year/apply/international-apply/,All international applicants are automatically considered for merit-based scholarships at the time of admission. No separate application is required.,$28.578,$50.786,Automatic consideration,81%,25%,16%,-,-,-,,76%,Early Action Only,,early_admission
University of Rhode Island,Kingston,RI,Rhode Island,Public,Northeast (New England),,Suburb: Large,10K - 20K,Coeducational,No,Balanced,High,On-campus,0-None,$35.000,$37.146,$15.210,$56.356,Merit,130,100%,$21.015,$33.689,$2.7m,N/A,,,,,,TBD,-,"77,1%","72,8%",17%,8%,427,311,26,77%,Early Action Only,,early_admission
University of Richmond,Richmond,VA,Virginia,Private,Southeast,,City: Midsize,1K - 9K,Coeducational,No,Balanced,High,Off-campus,1-Historically,$0,$65.230,$17.140,$86.370,Both,169,74%,$64.488,$18.322,$10.9m,Yes (Need-aware),Full ride,Richmond Scholarship,https://financialaid.richmond.edu/types-of-aid/merit-based/index.html,"The premier scholarship program. Requires a separate application, and finalists are invited for an on-campus competition.",$0,$4.000,Requires application,"23,3%","9,4%",24%,29%,3344,313,92,"22,2%",Both,Yes,early_admission
University of Rochester,Rochester,NY,New York,Private,Northeast (Mid-Atlantic),,City: Midsize,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$0,$67.124,$19.570,$90.694,Both,468,31%,$40.994,$46.278,$19.2m,Yes (Need-aware),Full ride+stipend,Handler Scholarship,https://www.rochester.edu/financial-aid/scholarships/,"A premier scholarship for students with outstanding academic and leadership potential from an urban background. All applicants are automatically considered. Includes book stipend and $5,000 for academic enrichment. Several other scholarships available.",$0,$3.000,Requires nomination,"35,9%","12,0%",20%,41%,7831,942,383,"35,6%",Early Decision only,Yes,early_admission
University of San Francisco,San Francisco,CA,California,Private,West Coast,SF/Silicon Valley,City: Large,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,$55.000,$60.492,$19.764,$84.256,Merit,350,65%,$26.300,$53.222,$9.2m,N/A,$29.000,University Scholarship,https://www.usfca.edu/financial-aid/scholarships,"All first-year applicants, including international students, are automatically considered for merit-based scholarships upon admission.",$31.492,$55.256,Automatic consideration,"50,8%","30,0%",9%,7%,4652,1397,101,"42,4%",Both,,early_admission
University of Scranton,Scranton,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,1K - 9K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$25.000,$52.034,$16.918,$72.952,Both,23,61%,$32.289,$40.663,$0.7m,No,Full Tuition,Presidential Scholarship,https://admissions.scranton.edu/financial-aid/scholarships-grants.shtml,The premier Merit Scholarship. Awarded to the top 5% of accepted students. Consideration is automatic with the admission application. No separate application required.,$0,$20.918,Automatic consideration,"81,2%","30,3%",13%,2%,396,120,2,"73,6%",Early Action Only,,early_admission
University of South Alabama,Mobile,AL,Alabama,Public,Southeast (Deep South),,City: Midsize,10K - 20K,Coeducational,No,Professional,Majority,On-campus,0-None,$15.000,$23.260,$9.180,$36.440,Merit,No data,No data,No data,,,N/A,Full Tuition,Dr. Richard & Angela Carter Global USA Endowed Scholars,https://www.southalabama.edu/departments/financialaffairs/scholarships/internationalstudents.html,A premier scholarship for international students. Requires a separate competitive application after admission.,$0,$13.180,Requires application,65%,,23%,-,,-,-,65%,Early Decision only,,early_admission
University of South Carolina-Columbia,Columbia,SC,South Carolina,Public,Southeast (Deep South),,City: Midsize,20K+,Coeducational,No,Professional,High,On-campus,0-None,$35.000,$35.972,$15.708,$52.275,Limited,105,25%,$22.048,$30.227,$2.3m,N/A,OOS waiver,Sister State Agreement,https://sc.edu/about/offices_and_divisions/international_student_and_scholar_support/new-student-arrival/understand_tuition_and_fees/university_scholarships_and_assistantships/index.php,"A tuition reduction program for students from specific German states (Brandenburg, Rhineland-Palatinate, etc.). It is not a general scholarship.",$12.688,$32.396,Automatic consideration,"61,5%","62,0%",25%,21%,524,325,68,61%,Early Action Only,,early_admission
University of Southern California,Los Angeles,CA,California,Private,West Coast,"Los Angeles, CA",City: Large,20K+,Coeducational,No,Balanced,Minority,On-campus,0-None,$25.000,$71.647,$19.931,$95.578,Merit,889,31%,$25.588,$65.847,$22.7m,N/A,Full Tuition,Mork Family Scholarship,https://financialaid.usc.edu/undergraduates/admitted/scholarships.html,"A premier, full-tuition scholarship. All first-year applicants who apply by the deadline are automatically considered. Finalists are invited for an interview.",$0,$23.931,Requires application,"9,2%","10,5%",45%,40%,14310,1499,604,"11,5%",Early Action Only,,early_admission
University of St. Thomas,St. Paul,MN,Minnesota,Private,Midwest (Great Plains),,City: Large,5K - 10K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$20.000,$54.398,$14.969,$73.367,Merit,71,32%,$20.247,$48.969,$1.4m,N/A,Full Tuition,Schulze Innovation Scholarship,https://www.stthomas.edu/admissions/international-students/,"A competitive, full-tuition scholarship for students interested in entrepreneurship. Requires a separate application, and finalists participate in a competition.",$0,$18.969,By invitation only,82%,45%,21%,-,-,-,,74%,Early Action Only,,early_admission
University of Tampa,Tampa,FL,Florida,Private,Southeast,,City: Large,10K - 20K,Coeducational,No,Balanced,Very High,On-campus,0-None,$45.000,$34.408,$14.612,$53.020,Merit,413,77%,$10.470,,$4.3m,N/A,$12.000,Partial Scholarship,https://www.ut.edu/admissions/undergraduate-international-admissions,All international applicants are automatically considered for a merit-based scholarship upon admission. No separate application is required.,$22.408,$41.020,Automatic consideration,41%,62%,17%,-,-,-,,10%,Early Action Only,,early_admission
University of Tennessee-Knoxville,Knoxville,TN,Tennessee,Public,Southeast,,City: Midsize,20K+,Coeducational,No,Professional,High,On-campus,0-None,$35.000,$32.956,$13.356,$50.312,Merit,48,19%,$11.137,$37.337,$0.5m,N/A,$18.000,International Volunteer Scholarship,https://onestop.utk.edu/scholarships/first-year/international-volunteer-scholarship/,A merit-based scholarship for new international students. Consideration is automatic for students who apply for admission by the priority deadline.,$14.956,$32.312,Automatic consideration,"46,0%","35,2%",29%,17%,1060,373,62,23%,Early Action Only,,early_admission
University of Texas at Austin,Austin,TX,Texas,Public,South (Central),"Austin, TX",City: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$30.000,$42.778,$14.136,$60.914,Merit,320,18%,$28.070,$32.844,$9.0m,N/A,OOS waiver,Non-Resident Tuition Waiver,https://catalog.utexas.edu/general-information/registration-tuition-and-fees/tuition-and-fees/tuition-waivers/,"This is a policy, not a direct scholarship. International students who receive a competitive university scholarship of at least $1,000 may be eligible to have the out-of-state portion of their tuition waived.",$11.678,$29.814,Automatic consideration,"11,0%","13,2%",49%,42%,6021,797,338,29%,Early Action Only,,early_admission
University of the Pacific,Stockton,CA,California,Private,West Coast,SF/Silicon Valley,City: Large,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$65.000,$57.080,$17.190,$78.270,Merit,,,,,,N/A,$15.000,International Student Merit Scholarship,https://www.pacific.edu/financial-aid/scholarships/international-students,All international applicants are automatically considered for merit-based scholarships upon admission. No separate application is required.,$42.080,$63.270,Automatic consideration,"94,9%","90,6%",14%,16%,331,300,47,95%,Early Action Only,,early_admission
University of Tulsa,Tulsa,OK,Oklahoma,Private,South (Central),,City: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,2-Slightly,$10.000,$49.546,$13.332,$66.878,Both,97,87%,$53.752,$9.542,$5.2m,No,Full Tuition,Presidential Scholarship,https://utulsa.edu/financial-aid/scholarships/presidential-scholarship/,"A competitive scholarship for students with exceptional academic records. Requires a separate application, and finalists must participate in an interview.",$0,$17.332,Requires application,58%,44%,15%,-,,-,,,Early Action Only,,early_admission
University of Utah,Salt Lake City,UT,Utah,Public,West (Rocky Mountains),,City: Midsize,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$35.000,$34.179,$13.315,$51.494,Merit,247,16%,$16.019,$30.216,$4.0m,N/A,N/A (enrolled),Nagoya Scholarship,https://isss.utah.edu/current-students/scholarship/nagoya-scholarship.php,"A specific scholarship for students from Nagoya, Japan, or Nagoya University who will be attending the University of Utah. Requires a separate application.",,,Requires application,"87,2%","89,9%",28%,30%,1017,914,277,87%,Early Action Only,,early_admission
University of Vermont,Burlington,VT,Vermont,Public,Northeast (New England),,City: Small,10K - 20K,Coeducational,No,Balanced,High,On-campus,1-Historically,$25.000,$45.502,$13.746,$63.248,Merit,97,89%,$39.514,$21.730,$3.8m,N/A,$20.000,Presidential Scholarship,https://www.uvm.edu/studentfinancialservices/scholarships_prospective_out_of_state_resident_students,The premier Merit Scholarship for out-of-state and international students. All applicants are automatically considered upon admission. No separate application required.,$25.502,$43.248,Automatic consideration,"60,0%","32,8%",17%,17%,597,196,33,44%,Both,,early_admission
