;;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;App Fees²;App Fees²;Common App;Common App;Supplements;Supplements;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸
Roger Williams University;Coed;;;11/15/2024;;;2025-02-01;55;55;;;;;S;See Website;;1;;;Y;Y
Rollins College;Coed;11/15/2024;1/5/2025;11/15/2024;;;2025-02-01;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;;;;Y;Y;Y
Roosevelt University;Coed;;;;;;Rolling;0;0;;;;;S;See Website;See Website;;;;;
Rose-Hulman Institute of Technology;Coed;;;11/1/2024;;;2025-02-01;65;65;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;1;;Y;Y;
Rosemont College;Coed;2/1/2025;;12/1/2024;;;2025-02-15;0;0;Yes;;;;N;None;;;;;;Y
Rowan University;Coed;;;;;;2025-03-01;65;45;Yes;;SR;;S;SAT without Essay or ACT without Essay;See Website;1;;;;Y
Russell Sage College;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;Y;Y
Rutgers University;Coed;;;11/1/2024;;;2024-12-01;70;70;Yes;;;;N;See Website;See Website;;;;;
Sacred Heart University;Coed;11/15/2024;1/15/2025;12/1/2024;2/1/2025;;2025-07-28;50;50;Yes;;;;N;None;C or D or I or T;1;;Y;Y;Y
Saint Anselm College;Coed;12/1/2024;;12/1/2024;;;2025-02-01;50;50;Yes;;;;N;None;;;;Y;Y;Y
Saint Elizabeth University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Saint Francis University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;
Saint John's University (MN);Coordinate;;;11/1/2024;12/1/2024;;2025-01-15;0;0;;;;;S;SAT without Essay or ACT without Essay;;;;;;
Saint Joseph's College of Maine;Coed;;;11/15/2024;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;T;;;;Y;
Saint Joseph's University;Coed;11/15/2024;1/15/2025;11/15/2024;;;2025-02-01;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;I or T;;;;Y;Y
Saint Leo University;Coed;;;;;;Rolling;0;0;;;;;F;See Website;See Website;;;;;Y
Saint Louis University;Coed;11/1/2024;1/15/2025;12/1/2024;;;2025-07-31;0;0;Yes;;SR;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
Saint Louis University - Madrid Campus (Spain);Coed;;;;;;Rolling;0;0;Yes;;;;F;See Website;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Saint Martin's University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;1;;;Y;Y
Saint Mary's College of California;Coed;;;11/1/2024;;;2025-03-15;60;60;Yes;;;;N;None;See Website;;;;;
Saint Mary's College, Notre Dame, Indiana;Women;11/15/2024;;;;;2025-02-15;0;0;;;SR;;S;SAT without Essay or ACT without Essay;See Website;;;;Y;Y
Saint Mary's University of Minnesota;Coed;;;;;;Rolling;0;0;;;;;S;See Website;See Website;;;;;Y
Saint Mary-of-the- Woods College;Coed;;;;;;Rolling;0;0;;;;;N;See Website;I or T;;;;;
Saint Michael's College;Coed;;;12/1/2024;;;2025-02-01;0;0;Yes;;;;N;SAT with Essay or ACT with Essay;;;;Y;Y;
Saint Peter's University;Coed;;;;;;Rolling;0;0;;;;;S;See Website;;1;;;Y;
Saint Vincent College;Coed;;;;;;Rolling;0;0;;Yes;;;N;SAT without Essay or ACT without Essay;See Website;;;Y;;Y
Saint Xavier University;Coed;;;12/1/2024;;;2025-07-29;0;0;;;;;N;See Website;I or T;;;;;
Salem College;Women;;;;;;Rolling;0;0;;;;;N;None;;;;;;
Salem State University;Coed;;;11/15/2024;;;2025-06-01;50;50;;;;;N;None;See Website;;;;;
Salve Regina University;Coed;11/1/2024;;11/1/2024;1/5/2025;;2025-02-01;50;0;Yes;;;;F;SAT without Essay or ACT without Essay;See Website;1;;Y;Y;Y
Sam Houston State University;Coed;;;;;;2025-07-01;50;90;;;;;S;SAT without Essay or ACT without Essay;;;;;;
Samford University;Coed;;;;;;Rolling;40;40;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;1;;;;Y
San Francisco Bay University;Coed;;;;;;2025-07-28;0;0;;;;;N;None;I or T or P;;;;;
Santa Clara University;Coed;11/1/2024;1/7/2025;11/1/2024;;;2025-01-07;70;70;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;1;;Y;;
Sarah Lawrence College;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;0;0;Yes;;COL;;N;SAT without Essay or ACT without Essay;;1;;;Y;Y
Sauk Valley Community College;Coed;;;;;;Rolling;0;0;;;;;S;See Website;See Website;;;;;
Savannah College of Art and Design;Coed;;;;;;Rolling;100;100;;;SR;;F;See Website;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
School of the Art Institute of Chicago;Coed;;;11/15/2024;1/15/2025;;2025-04-15;65;85;;;SR;;S;None;See Website;1;;;;Y
Schreiner University;Coed;;;11/1/2024;12/1/2024;;2025-03-01;25;25;;;;;N;None;;;;;;
Scripps College;Women;11/15/2024;1/8/2025;;;;2025-01-08;60;60;Yes;;SR;;N;None;;2;;Y;Y;
Seattle Pacific University;Coed;;;11/1/2024;;;2025-01-15;50;50;Yes;;;;N;See Website;See Website;;;;;Y
Seattle University;Coed;;;11/15/2024;;;2025-01-15;60;60;Yes;;;;N;See Website;See Website;1;;Y;Y;Y
Seton Hall University;Coed;;;11/15/2024;12/15/2024;;2025-03-01;65;65;Yes;;;;N;SAT without Essay or ACT without Essay;;1;;;Y;
Seton Hill University;Coed;;;;;;Rolling;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
Sewanee: The University of the South;Coed;11/15/2024;1/15/2025;12/1/2024;;;2025-02-01;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;1;;;Y;
Shaw University;Coed;;;12/1/2024;;;Rolling;25;40;;;;;S;None;;;;;;
Shawnee State University;Coed;;;;;;Rolling;0;50;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;
Shenandoah University;Coed;;;11/4/2024;;;Rolling;30;30;;;;;N;None;;;;;;
Shepherd University;Coed;;;11/15/2024;;;Rolling;45;45;;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
Shippensburg University of Pennsylvania;Coed;;;;;;Rolling;0;45;;;;;S;SAT without Essay or ACT without Essay;;;;;;
Siena College;Coed;11/15/2024;;12/15/2024;1/15/2025;;2025-02-15;50;50;;;;;S;See Website;See Website;;;;;
Siena College;Coed;;;;;;2025-02-15;50;50;;;;;S;See Website;See Website;;;;;
Siena College;Coed;;;;;;2024-11-01;50;50;;;;;S;See Website;See Website;;;;;
Siena Heights University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Simmons University;Women;;;11/5/2024;12/1/2024;;2025-02-01;0;0;Yes;;;Yes;N;SAT without Essay or ACT without Essay;;1;;Y;Y;Y
Simpson College;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
SKEMA Business School - US Campus;Coed;;;11/1/2024;;;2/1/2025;35;35;;;;;S;None;T;;;;;Y
Skidmore College;Coed;11/1/2024;1/28/2025;;;;2025-01-28;65;65;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;2;;Y;Y;
Smith College;Women;11/15/2024;1/6/2025;;;;2025-01-31;0;0;Yes;;SR;;N;See Website;See Website;2;;Y;Y;Y
Soka University of America;Coed;;;11/1/2024;;;2025-01-15;30;30;;;;Yes;N;None;See Website;1;;;Y;Y
South Carolina State University;Coed;;;;;;Rolling;0;0;;Yes;;;A;SAT without Essay or ACT without Essay;See Website;;;Y;;Y
Southeast Missouri State University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Southeastern University;Coed;;;;;;Rolling;40;40;;;;;F;None;;;;;Y;Y
Southern California Institute of Architecture;Coed;1/15/2025;;;;;Rolling;85;85;Yes;;SR;;N;SAT without Essay or ACT without Essay;;;;Y;Y;Y
Southern Connecticut State University;Coed;;;;;;Rolling;50;50;Yes;;;;F;None;See Website;;;;;Y
Southern Illinois University Carbondale;Coed;;;;;;Rolling;40;40;;;;;N;None;;;;;;
Southern Illinois University Edwardsville;Coed;;;;;;Rolling;0;40;;;;;N;See Website;See Website;;;;;
Southern Methodist University;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;;;;Y;Y
Southern New Hampshire University;Coed;;;11/15/2024;;;Rolling;0;0;Yes;;;;N;See Website;See Website;;;;;Y
Southern University at New Orleans (SUNO);Coed;;;;;;Rolling;45;45;;;;;A;SAT without Essay or ACT without Essay;T;;;Y;;
Southwestern University;Coed;11/1/2024;;12/3/2024;;;2025-02-04;0;0;Yes;;;;F;SAT without Essay or ACT without Essay;I or T;;;;Y;Y
Spalding University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Spartanburg Methodist College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Spelman College;Women;11/1/2024;;11/1/2024;;;2025-02-01;40;40;Yes;;;;N;None;;2;;Y;;
Spring Arbor University;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;I or T;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Spring Hill College;Coed;;;;;;Rolling;0;0;;;;;F;See Website;;;;;Y;Y
Springfield College;Coed;12/1/2024;1/15/2025;;;;Rolling;0;0;Yes;;;Yes;N;None;See Website;1;;Y;;Y
St. Ambrose University;Coed;;;;;;Rolling;0;0;;;;;N;None;I or T;;;;;Y
St. Andrews University (NC);Coed;;;;;;Rolling;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
St. Bonaventure University;Coed;;;12/10/2024;;;Rolling;0;0;Yes;;;Yes;S;SAT without Essay or ACT without Essay;See Website;1;;;Y;Y
St. Edward's University;Coed;;;;;;Rolling;0;0;Yes;;;;N;See Website;;;;Y;Y;Y
St. Francis College;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
St. John Fisher University;Coed;12/1/2024;;;;;Rolling;0;0;Yes;;;;N;None;See Website;;;Y;;
St. John's College (MD);Coed;11/1/2024;1/15/2025;11/15/2024;;;2025-01-15;0;0;Yes;Yes;;;N;SAT without Essay or ACT without Essay;See Website;1;;;Y;Y
St. John's College (NM);Coed;11/1/2024;1/15/2025;11/15/2024;;;2025-01-15;0;0;Yes;Yes;;;N;SAT without Essay or ACT without Essay;See Website;1;;;Y;Y
St. John's University (NY);Coed;;;12/1/2024;;;Rolling;0;0;;;;;N;See Website;;;;;;Y
St. Joseph's University, New York - Brooklyn Campus;Coed;;;;;;Rolling;25;25;Yes;;;;N;See Website;See Website;;;;Y;Y
St. Joseph’s University, New York - Long Island Campus;Coed;;;;;;Rolling;25;25;Yes;;;;N;See Website;See Website;;;;Y;Y
St. Lawrence University;Coed;2/1/2025;;12/2/2024;;;2025-02-01;0;0;Yes;;;;N;See Website;See Website;2;;Y;Y;Y
St. Mary's College of Maryland;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;50;50;Yes;;;;S;See Website;See Website;1;;Y;Y;Y
St. Mary's University;Coed;;;;;;Rolling;0;0;;;;;F;See Website;;;;;;Y
St. Norbert College;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;;;;;;Y
St. Olaf College;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;0;0;Yes;;;;N;None;;1;;;;
St. Thomas University (FL);Coed;;;;;;Rolling;0;0;;;;;I;None;C or D or I or T;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
St. Thomas University, Canada;Coed;;;;;;Rolling;55;55;;;;;N;SAT with Essay or ACT with Essay;C or D or I or T;;;Y;;Y
Stanford University;Coed;;;;;11/1/2024;2025-01-05;90;90;Yes;Yes;COL;;N;None;See Website;2;;Y;Y;
Stephen F. Austin State University;Coed;;;;;;Rolling;50;50;;;;;F;None;See Website;;;;;
Stephens College;Coed;;;;;;Rolling;0;0;;;;;F;None;See Website;;;;;
Sterling College;Coed;11/15/2024;;11/15/2024;12/15/2024;;2025-04-01;0;0;;;;Yes;N;None;I or T or P;;;;;
Stetson University;Coed;11/1/2024;;11/15/2024;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Stevens Institute of Technology;Coed;11/15/2024;1/15/2025;12/1/2024;;;2025-02-01;75;75;Yes;;;;S;See Website;See Website;1;;Y;Y;Y
Stevenson University;Coed;;;;;;Rolling;0;0;Yes;;SR;Yes;N;None;I or T;;;;;Y
Stockton University;Coed;;;;;;Rolling;50;50;;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
Stonehill College;Coed;12/1/2024;2/1/2025;11/1/2024;1/15/2025;;2025-02-15;60;60;Yes;;;;I;None;See Website;1;;Y;Y;Y
Suffolk University;Coed;;;11/15/2024;;;2025-02-15;50;50;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;1;;Y;Y;
SUNY Alfred State College of Technology;Coed;;;;;;Rolling;50;50;;;;;N;None;I or T;;;;;Y
SUNY Binghamton University;Coed;;;11/1/2024;;;2025-01-15;50;50;Yes;;;;N;See Website;See Website;1;;;;
SUNY Buffalo State;Coed;;;;;;Rolling;50;50;Yes;;;;N;None;C or D or I or T;;;;;Y
SUNY Cobleskill;Coed;;;;;;Rolling;50;50;;;;;N;SAT without Essay or ACT without Essay;I or T;;;;;Y
SUNY College at Brockport;Coed;;;;;;Rolling;50;50;Yes;;;;N;None;I or T;;;;Y;
SUNY College at Old Westbury;Coed;;;11/15/2024;;;Rolling;50;50;Yes;;;;S;SAT without Essay or ACT without Essay;I or T;1;;Y;Y;Y
SUNY College of Environmental Science & Forestry;Coed;;;11/15/2024;;;2025-01-15;50;50;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;
SUNY College of Technology at Canton;Coed;;;;;;Rolling;50;50;;;;;S;SAT with Essay or ACT with Essay;I or T or P;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
SUNY Cortland;Coed;;;11/15/2024;;;Rolling;50;50;Yes;;;;N;See Website;See Website;;;;Y;
SUNY Delhi;Coed;;;;;;Rolling;50;50;;;;;S;See Website;See Website;;;;;Y
SUNY Farmingdale State College;Coed;;;;;;Rolling;50;50;;;;;S;SAT with Essay or ACT with Essay;I or T;;;;;Y
SUNY Fredonia;Coed;;;;;;Rolling;50;50;;;;;S;None;C or D or I or T;;;;;Y
SUNY Maritime College;Coed;12/1/2024;;;;;2025-04-01;50;50;Yes;;;;S;SAT with Essay or ACT with Essay;See Website;1;;;Y;Y
SUNY Morrisville State College;Coed;;;;;;Rolling;50;50;;;;;S;See Website;I or T;;;;;Y
SUNY New Paltz;Coed;;;11/15/2024;;;Rolling;50;50;Yes;;;Yes;S;See Website;I or T;1;;;;Y
SUNY Oswego;Coed;;;11/15/2024;;;Rolling;50;50;Yes;;;;N;See Website;C or D or I or T;;;;Y;
SUNY Plattsburgh;Coed;;;;;;Rolling;50;50;Yes;;;;N;SAT without Essay or ACT without Essay;I or T or P;;;;;Y
SUNY Polytechnic Institute;Coed;;;11/15/2024;;;Rolling;50;50;Yes;;;;S;SAT without Essay or ACT without Essay;I or T;1;;;Y;Y
SUNY Potsdam;Coed;;;;;;Rolling;50;50;Yes;;;;S;See Website;See Website;1;;;Y;Y
SUNY Stony Brook University;Coed;;;11/1/2024;;;2025-02-15;50;50;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
SUNY University at Buffalo;Coed;;;11/1/2024;;;2025-02-01;50;50;Yes;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;
SUNY, University at Albany;Coed;;;11/15/2024;;;2025-02-01;50;50;Yes;;;;N;SAT without Essay or ACT without Essay;;;;;Y;Y
Swarthmore College;Coed;11/15/2024;1/4/2025;;;;2025-01-04;60;60;Yes;;SR;;N;None;See Website;2;;Y;Y;Y
Sweet Briar College;Women;11/1/2024;;11/15/2024;;;2025-07-15;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
Syracuse University;Coed;11/15/2024;1/5/2025;;;;2025-01-05;85;85;Yes;;;;N;None;See Website;1;;Y;Y;
Taejae University;Coed;;;2/28/2025;;;2025-03-31;0;0;;Yes;;;N;None;See Website;;;;;Y
Talladega College;Coed;;;11/15/2024;1/19/2025;;2025-07-29;25;25;;;;;N;None;;;;Y;Y;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Tarleton State University;Coed;;;;;;2025-07-31;50;50;;;;;S;See Website;See Website;;;;;
Taylor University;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;Y
Tecnológico de Monterrey;Coed;12/9/2024;;;;;2025-04-03;0;0;Yes;Yes;;;A;SAT with Essay or ACT with Essay;;;;;;Y
Temple University;Coed;;;11/1/2024;;;2025-02-01;55;55;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
Temple University, Japan Campus;Coed;;;;;;Rolling;75;75;;;;;N;See Website;See Website;;;;;Y
Texas A&M University;Coed;;;;;;2024-12-01;75;90;;;;;N;None;I or T;;;;;
Texas Christian University;Coed;11/1/2024;2/1/2025;11/1/2024;;;2025-02-01;50;50;Yes;;;;N;SAT without Essay or ACT without Essay;;1;;;Y;
Texas Lutheran University;Coed;;;11/15/2024;;;2025-07-27;0;100;Yes;;;;N;See Website;I or T;;;;;
Texas State University;Coed;;;;;;Rolling;75;90;;;;;N;See Website;See Website;;;;;
Texas Tech University;Coed;;;;;;Rolling;75;75;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Texas Wesleyan University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;
The American University of Paris;Coed;;;11/15/2024;2/1/2025;;2025-03-15;50;50;Yes;;;;F;See Website;See Website;1;;;Y;Y
The American University of Rome;Coed;;;11/1/2024;2/1/2025;;2025-03-15;50;50;Yes;Yes;COL;;N;None;;1;;Y;Y;
The Catholic University of America;Coed;11/1/2024;2/1/2025;11/1/2024;;;2025-02-01;0;0;Yes;;;;N;See Website;;1;;Y;Y;Y
The Citadel, The Military College of South Carolina;Coed;;;;;;2025-07-15;40;40;;;;;F;None;See Website;;;;;Y
The College of Idaho;Coed;;;11/15/2024;1/15/2025;;2025-02-15;0;0;Yes;;;;F;SAT without Essay or ACT without Essay;;;;;;Y
The College of New Jersey;Coed;11/1/2024;;;;;2025-02-01;65;65;Yes;;SR;;S;SAT without Essay or ACT without Essay;See Website;;;;;
The College of St. Scholastica;Coed;;;;;;Rolling;0;25;;;;;N;See Website;;;;;;Y
The Culinary Institute of America (CA);Coed;;;11/15/2024;;;Rolling;50;50;;;;Yes;N;None;I or T or P;;;;Y;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
The Culinary Institute of America (NY);Coed;;;11/15/2024;;;Rolling;50;50;;;;Yes;N;None;I or T or P;;;;Y;Y
The Culinary Institute of America (TX);Coed;;;11/15/2024;;;Rolling;50;50;;;;Yes;N;None;I or T or P;;;;Y;Y
The Evergreen State College;Coed;;;;;;Rolling;50;50;;;;;S;See Website;See Website;;;;;Y
The George Washington University;Coed;11/1/2024;1/5/2025;;;;2025-01-05;80;80;Yes;;SR;Yes;S;See Website;See Website;1;;Y;Y;Y
The Master's University;Coed;;;;;;Rolling;45;45;;;;;N;None;T;;1;;;
The New School;Coed;11/11/2024;;11/11/2024;;;2025-02-15;50;75;;;;;N;None;C or D or I or T;1;;Y;Y;
The Ohio State University;Coed;;;11/1/2024;;;2025-01-15;60;70;Yes;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
The University of Alabama;Coed;;;;;;Rolling;40;40;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;
The University of Alabama in Huntsville;Coed;;;;;;Rolling;40;40;;;;;S;SAT without Essay or ACT without Essay;;;;;;
The University of Arizona;Coed;;;;;;Rolling;80;85;;Yes;;Yes;N;None;See Website;;;;;
The University of Findlay;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;;;;;;Y
The University of Hong Kong;Coed;;;;;;2024-11-28;60;60;;;;Yes;F;See Website;See Website;;;Y;;Y
The University of Memphis;Coed;;;;;;2025-07-28;25;50;;;;;A;SAT without Essay or ACT without Essay;See Website;;;;;
The University of Oklahoma;Coed;;;;;;Rolling;50;90;Yes;;;Yes;N;See Website;See Website;;;;;Y
The University of Olivet;Coed;;;;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;I or T;;;;;
The University of Scranton;Coed;;;11/15/2024;;;2025-07-27;0;50;Yes;;;;S;None;;;;;Y;
The University of South Alabama;Coed;;;;;;Rolling;35;35;;;;;F;See Website;See Website;;;;;Y
The University of Tennessee Knoxville;Coed;;;11/1/2024;;;2024-12-15;75;75;Yes;;;;A;SAT without Essay or ACT without Essay;See Website;;;;;Y
The University of Tennessee- Chattanooga;Coed;;;;;;Rolling;30;30;;;;;A;SAT without Essay or ACT without Essay;See Website;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
The University of Tennessee-Martin;Coed;;;;;;Rolling;40;130;;;;;A;SAT without Essay or ACT without Essay;See Website;;;;;
The University of Tennessee-Southern;Coed;;;;;;Rolling;0;30;;;;;S;SAT without Essay or ACT without Essay;;;;;;
The University of Texas at Arlington;Coed;;;;;;2025-07-26;75;75;;;;;S;SAT without Essay or ACT without Essay;;;;;;
The University of Texas at Austin;Coed;;;10/15/2024;;;2024-12-01;75;90;Yes;;;;A;SAT without Essay or ACT without Essay;I or T;;;;;
The University of Texas at Dallas;Coed;;;;;;Rolling;50;50;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;
The University of Texas at El Paso;Coed;;;;;;Rolling;0;65;;;;;A;See Website;;;;;;
The University of Texas at San Antonio;Coed;;;;;;Rolling;70;70;;;;Yes;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
The University of Tulsa;Coed;11/1/2024;;;;;Rolling;50;50;;;;;N;None;See Website;;;;;Y
The University of Utah;Coed;;;12/1/2024;;;Rolling;55;65;;;;;S;None;See Website;;;;;Y
The University of Virginia's College at Wise;Coed;;;;;;Rolling;0;50;;;;;N;None;;;;;;Y
The University of West Florida;Coed;;;;;;Rolling;30;30;;;;;A;SAT without Essay or ACT without Essay;See Website;;;;;Y
Thiel College;Coed;;;;;;Rolling;0;0;;;;;N;None;I or T;;;;;Y
Thomas College;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;Y
Thomas Jefferson University;Coed;;;11/1/2024;;;2025-03-01;50;50;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;1;;;;Y
Thomas More University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Tiffin University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;
Towson University;Coed;;;11/15/2024;;;2025-02-01;50;50;Yes;;;;N;See Website;See Website;;;;;Y
Transylvania University;Coed;;;10/31/2024;12/1/2024;;2025-07-29;0;0;;;;;S;SAT without Essay or ACT without Essay;C or D or I or T;;;;;
Trevecca Nazarene University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Trine University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;Y;;
Trinity Christian College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Trinity College;Coed;11/15/2024;1/17/2025;;;;2025-01-17;65;65;Yes;;;;S;See Website;See Website;1;;Y;;
Trinity University;Coed;11/1/2024;2/1/2025;11/1/2024;;;2025-02-01;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;;1;;;Y;
Trinity Washington University;Women;;;;;;Rolling;0;0;;;;;N;None;I or T;;;;;Y
Truman State University;Coed;;;;;;Rolling;0;0;;;;;S;See Website;See Website;;;;;Y
Tufts University;Coed;11/4/2024;1/6/2025;;;;2025-01-06;75;75;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;1;;Y;Y;
Tulane University;Coed;11/1/2024;1/15/2025;11/15/2024;;;2025-01-15;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;;;;;Y;
